weight,Time,Chick,Diet
42.0,0.0,1,1
51.0,2.0,1,1
59.0,4.0,1,1
64.0,6.0,1,1
76.0,8.0,1,1
93.0,10.0,1,1
106.0,12.0,1,1
125.0,14.0,1,1
149.0,16.0,1,1
171.0,18.0,1,1
199.0,20.0,1,1
205.0,21.0,1,1
40.0,0.0,2,1
49.0,2.0,2,1
58.0,4.0,2,1
72.0,6.0,2,1
84.0,8.0,2,1
103.0,10.0,2,1
122.0,12.0,2,1
138.0,14.0,2,1
162.0,16.0,2,1
187.0,18.0,2,1
209.0,20.0,2,1
215.0,21.0,2,1
43.0,0.0,3,1
39.0,2.0,3,1
55.0,4.0,3,1
67.0,6.0,3,1
84.0,8.0,3,1
99.0,10.0,3,1
115.0,12.0,3,1
138.0,14.0,3,1
163.0,16.0,3,1
187.0,18.0,3,1
198.0,20.0,3,1
202.0,21.0,3,1
42.0,0.0,4,1
49.0,2.0,4,1
56.0,4.0,4,1
67.0,6.0,4,1
74.0,8.0,4,1
87.0,10.0,4,1
102.0,12.0,4,1
108.0,14.0,4,1
136.0,16.0,4,1
154.0,18.0,4,1
160.0,20.0,4,1
157.0,21.0,4,1
41.0,0.0,5,1
42.0,2.0,5,1
48.0,4.0,5,1
60.0,6.0,5,1
79.0,8.0,5,1
106.0,10.0,5,1
141.0,12.0,5,1
164.0,14.0,5,1
197.0,16.0,5,1
199.0,18.0,5,1
220.0,20.0,5,1
223.0,21.0,5,1
41.0,0.0,6,1
49.0,2.0,6,1
59.0,4.0,6,1
74.0,6.0,6,1
97.0,8.0,6,1
124.0,10.0,6,1
141.0,12.0,6,1
148.0,14.0,6,1
155.0,16.0,6,1
160.0,18.0,6,1
160.0,20.0,6,1
157.0,21.0,6,1
41.0,0.0,7,1
49.0,2.0,7,1
57.0,4.0,7,1
71.0,6.0,7,1
89.0,8.0,7,1
112.0,10.0,7,1
146.0,12.0,7,1
174.0,14.0,7,1
218.0,16.0,7,1
250.0,18.0,7,1
288.0,20.0,7,1
305.0,21.0,7,1
42.0,0.0,8,1
50.0,2.0,8,1
61.0,4.0,8,1
71.0,6.0,8,1
84.0,8.0,8,1
93.0,10.0,8,1
110.0,12.0,8,1
116.0,14.0,8,1
126.0,16.0,8,1
134.0,18.0,8,1
125.0,20.0,8,1
42.0,0.0,9,1
51.0,2.0,9,1
59.0,4.0,9,1
68.0,6.0,9,1
85.0,8.0,9,1
96.0,10.0,9,1
90.0,12.0,9,1
92.0,14.0,9,1
93.0,16.0,9,1
100.0,18.0,9,1
100.0,20.0,9,1
98.0,21.0,9,1
41.0,0.0,10,1
44.0,2.0,10,1
52.0,4.0,10,1
63.0,6.0,10,1
74.0,8.0,10,1
81.0,10.0,10,1
89.0,12.0,10,1
96.0,14.0,10,1
101.0,16.0,10,1
112.0,18.0,10,1
120.0,20.0,10,1
124.0,21.0,10,1
43.0,0.0,11,1
51.0,2.0,11,1
63.0,4.0,11,1
84.0,6.0,11,1
112.0,8.0,11,1
139.0,10.0,11,1
168.0,12.0,11,1
177.0,14.0,11,1
182.0,16.0,11,1
184.0,18.0,11,1
181.0,20.0,11,1
175.0,21.0,11,1
41.0,0.0,12,1
49.0,2.0,12,1
56.0,4.0,12,1
62.0,6.0,12,1
72.0,8.0,12,1
88.0,10.0,12,1
119.0,12.0,12,1
135.0,14.0,12,1
162.0,16.0,12,1
185.0,18.0,12,1
195.0,20.0,12,1
205.0,21.0,12,1
41.0,0.0,13,1
48.0,2.0,13,1
53.0,4.0,13,1
60.0,6.0,13,1
65.0,8.0,13,1
67.0,10.0,13,1
71.0,12.0,13,1
70.0,14.0,13,1
71.0,16.0,13,1
81.0,18.0,13,1
91.0,20.0,13,1
96.0,21.0,13,1
41.0,0.0,14,1
49.0,2.0,14,1
62.0,4.0,14,1
79.0,6.0,14,1
101.0,8.0,14,1
128.0,10.0,14,1
164.0,12.0,14,1
192.0,14.0,14,1
227.0,16.0,14,1
248.0,18.0,14,1
259.0,20.0,14,1
266.0,21.0,14,1
41.0,0.0,15,1
49.0,2.0,15,1
56.0,4.0,15,1
64.0,6.0,15,1
68.0,8.0,15,1
68.0,10.0,15,1
67.0,12.0,15,1
68.0,14.0,15,1
41.0,0.0,16,1
45.0,2.0,16,1
49.0,4.0,16,1
51.0,6.0,16,1
57.0,8.0,16,1
51.0,10.0,16,1
54.0,12.0,16,1
42.0,0.0,17,1
51.0,2.0,17,1
61.0,4.0,17,1
72.0,6.0,17,1
83.0,8.0,17,1
89.0,10.0,17,1
98.0,12.0,17,1
103.0,14.0,17,1
113.0,16.0,17,1
123.0,18.0,17,1
133.0,20.0,17,1
142.0,21.0,17,1
39.0,0.0,18,1
35.0,2.0,18,1
43.0,0.0,19,1
48.0,2.0,19,1
55.0,4.0,19,1
62.0,6.0,19,1
65.0,8.0,19,1
71.0,10.0,19,1
82.0,12.0,19,1
88.0,14.0,19,1
106.0,16.0,19,1
120.0,18.0,19,1
144.0,20.0,19,1
157.0,21.0,19,1
41.0,0.0,20,1
47.0,2.0,20,1
54.0,4.0,20,1
58.0,6.0,20,1
65.0,8.0,20,1
73.0,10.0,20,1
77.0,12.0,20,1
89.0,14.0,20,1
98.0,16.0,20,1
107.0,18.0,20,1
115.0,20.0,20,1
117.0,21.0,20,1
40.0,0.0,21,2
50.0,2.0,21,2
62.0,4.0,21,2
86.0,6.0,21,2
125.0,8.0,21,2
163.0,10.0,21,2
217.0,12.0,21,2
240.0,14.0,21,2
275.0,16.0,21,2
307.0,18.0,21,2
318.0,20.0,21,2
331.0,21.0,21,2
41.0,0.0,22,2
55.0,2.0,22,2
64.0,4.0,22,2
77.0,6.0,22,2
90.0,8.0,22,2
95.0,10.0,22,2
108.0,12.0,22,2
111.0,14.0,22,2
131.0,16.0,22,2
148.0,18.0,22,2
164.0,20.0,22,2
167.0,21.0,22,2
43.0,0.0,23,2
52.0,2.0,23,2
61.0,4.0,23,2
73.0,6.0,23,2
90.0,8.0,23,2
103.0,10.0,23,2
127.0,12.0,23,2
135.0,14.0,23,2
145.0,16.0,23,2
163.0,18.0,23,2
170.0,20.0,23,2
175.0,21.0,23,2
42.0,0.0,24,2
52.0,2.0,24,2
58.0,4.0,24,2
74.0,6.0,24,2
66.0,8.0,24,2
68.0,10.0,24,2
70.0,12.0,24,2
71.0,14.0,24,2
72.0,16.0,24,2
72.0,18.0,24,2
76.0,20.0,24,2
74.0,21.0,24,2
40.0,0.0,25,2
49.0,2.0,25,2
62.0,4.0,25,2
78.0,6.0,25,2
102.0,8.0,25,2
124.0,10.0,25,2
146.0,12.0,25,2
164.0,14.0,25,2
197.0,16.0,25,2
231.0,18.0,25,2
259.0,20.0,25,2
265.0,21.0,25,2
42.0,0.0,26,2
48.0,2.0,26,2
57.0,4.0,26,2
74.0,6.0,26,2
93.0,8.0,26,2
114.0,10.0,26,2
136.0,12.0,26,2
147.0,14.0,26,2
169.0,16.0,26,2
205.0,18.0,26,2
236.0,20.0,26,2
251.0,21.0,26,2
39.0,0.0,27,2
46.0,2.0,27,2
58.0,4.0,27,2
73.0,6.0,27,2
87.0,8.0,27,2
100.0,10.0,27,2
115.0,12.0,27,2
123.0,14.0,27,2
144.0,16.0,27,2
163.0,18.0,27,2
185.0,20.0,27,2
192.0,21.0,27,2
39.0,0.0,28,2
46.0,2.0,28,2
58.0,4.0,28,2
73.0,6.0,28,2
92.0,8.0,28,2
114.0,10.0,28,2
145.0,12.0,28,2
156.0,14.0,28,2
184.0,16.0,28,2
207.0,18.0,28,2
212.0,20.0,28,2
233.0,21.0,28,2
39.0,0.0,29,2
48.0,2.0,29,2
59.0,4.0,29,2
74.0,6.0,29,2
87.0,8.0,29,2
106.0,10.0,29,2
134.0,12.0,29,2
150.0,14.0,29,2
187.0,16.0,29,2
230.0,18.0,29,2
279.0,20.0,29,2
309.0,21.0,29,2
42.0,0.0,30,2
48.0,2.0,30,2
59.0,4.0,30,2
72.0,6.0,30,2
85.0,8.0,30,2
98.0,10.0,30,2
115.0,12.0,30,2
122.0,14.0,30,2
143.0,16.0,30,2
151.0,18.0,30,2
157.0,20.0,30,2
150.0,21.0,30,2
42.0,0.0,31,3
53.0,2.0,31,3
62.0,4.0,31,3
73.0,6.0,31,3
85.0,8.0,31,3
102.0,10.0,31,3
123.0,12.0,31,3
138.0,14.0,31,3
170.0,16.0,31,3
204.0,18.0,31,3
235.0,20.0,31,3
256.0,21.0,31,3
41.0,0.0,32,3
49.0,2.0,32,3
65.0,4.0,32,3
82.0,6.0,32,3
107.0,8.0,32,3
129.0,10.0,32,3
159.0,12.0,32,3
179.0,14.0,32,3
221.0,16.0,32,3
263.0,18.0,32,3
291.0,20.0,32,3
305.0,21.0,32,3
39.0,0.0,33,3
50.0,2.0,33,3
63.0,4.0,33,3
77.0,6.0,33,3
96.0,8.0,33,3
111.0,10.0,33,3
137.0,12.0,33,3
144.0,14.0,33,3
151.0,16.0,33,3
146.0,18.0,33,3
156.0,20.0,33,3
147.0,21.0,33,3
41.0,0.0,34,3
49.0,2.0,34,3
63.0,4.0,34,3
85.0,6.0,34,3
107.0,8.0,34,3
134.0,10.0,34,3
164.0,12.0,34,3
186.0,14.0,34,3
235.0,16.0,34,3
294.0,18.0,34,3
327.0,20.0,34,3
341.0,21.0,34,3
41.0,0.0,35,3
53.0,2.0,35,3
64.0,4.0,35,3
87.0,6.0,35,3
123.0,8.0,35,3
158.0,10.0,35,3
201.0,12.0,35,3
238.0,14.0,35,3
287.0,16.0,35,3
332.0,18.0,35,3
361.0,20.0,35,3
373.0,21.0,35,3
39.0,0.0,36,3
48.0,2.0,36,3
61.0,4.0,36,3
76.0,6.0,36,3
98.0,8.0,36,3
116.0,10.0,36,3
145.0,12.0,36,3
166.0,14.0,36,3
198.0,16.0,36,3
227.0,18.0,36,3
225.0,20.0,36,3
220.0,21.0,36,3
41.0,0.0,37,3
48.0,2.0,37,3
56.0,4.0,37,3
68.0,6.0,37,3
80.0,8.0,37,3
83.0,10.0,37,3
103.0,12.0,37,3
112.0,14.0,37,3
135.0,16.0,37,3
157.0,18.0,37,3
169.0,20.0,37,3
178.0,21.0,37,3
41.0,0.0,38,3
49.0,2.0,38,3
61.0,4.0,38,3
74.0,6.0,38,3
98.0,8.0,38,3
109.0,10.0,38,3
128.0,12.0,38,3
154.0,14.0,38,3
192.0,16.0,38,3
232.0,18.0,38,3
280.0,20.0,38,3
290.0,21.0,38,3
42.0,0.0,39,3
50.0,2.0,39,3
61.0,4.0,39,3
78.0,6.0,39,3
89.0,8.0,39,3
109.0,10.0,39,3
130.0,12.0,39,3
146.0,14.0,39,3
170.0,16.0,39,3
214.0,18.0,39,3
250.0,20.0,39,3
272.0,21.0,39,3
41.0,0.0,40,3
55.0,2.0,40,3
66.0,4.0,40,3
79.0,6.0,40,3
101.0,8.0,40,3
120.0,10.0,40,3
154.0,12.0,40,3
182.0,14.0,40,3
215.0,16.0,40,3
262.0,18.0,40,3
295.0,20.0,40,3
321.0,21.0,40,3
42.0,0.0,41,4
51.0,2.0,41,4
66.0,4.0,41,4
85.0,6.0,41,4
103.0,8.0,41,4
124.0,10.0,41,4
155.0,12.0,41,4
153.0,14.0,41,4
175.0,16.0,41,4
184.0,18.0,41,4
199.0,20.0,41,4
204.0,21.0,41,4
42.0,0.0,42,4
49.0,2.0,42,4
63.0,4.0,42,4
84.0,6.0,42,4
103.0,8.0,42,4
126.0,10.0,42,4
160.0,12.0,42,4
174.0,14.0,42,4
204.0,16.0,42,4
234.0,18.0,42,4
269.0,20.0,42,4
281.0,21.0,42,4
42.0,0.0,43,4
55.0,2.0,43,4
69.0,4.0,43,4
96.0,6.0,43,4
131.0,8.0,43,4
157.0,10.0,43,4
184.0,12.0,43,4
188.0,14.0,43,4
197.0,16.0,43,4
198.0,18.0,43,4
199.0,20.0,43,4
200.0,21.0,43,4
42.0,0.0,44,4
51.0,2.0,44,4
65.0,4.0,44,4
86.0,6.0,44,4
103.0,8.0,44,4
118.0,10.0,44,4
127.0,12.0,44,4
138.0,14.0,44,4
145.0,16.0,44,4
146.0,18.0,44,4
41.0,0.0,45,4
50.0,2.0,45,4
61.0,4.0,45,4
78.0,6.0,45,4
98.0,8.0,45,4
117.0,10.0,45,4
135.0,12.0,45,4
141.0,14.0,45,4
147.0,16.0,45,4
174.0,18.0,45,4
197.0,20.0,45,4
196.0,21.0,45,4
40.0,0.0,46,4
52.0,2.0,46,4
62.0,4.0,46,4
82.0,6.0,46,4
101.0,8.0,46,4
120.0,10.0,46,4
144.0,12.0,46,4
156.0,14.0,46,4
173.0,16.0,46,4
210.0,18.0,46,4
231.0,20.0,46,4
238.0,21.0,46,4
41.0,0.0,47,4
53.0,2.0,47,4
66.0,4.0,47,4
79.0,6.0,47,4
100.0,8.0,47,4
123.0,10.0,47,4
148.0,12.0,47,4
157.0,14.0,47,4
168.0,16.0,47,4
185.0,18.0,47,4
210.0,20.0,47,4
205.0,21.0,47,4
39.0,0.0,48,4
50.0,2.0,48,4
62.0,4.0,48,4
80.0,6.0,48,4
104.0,8.0,48,4
125.0,10.0,48,4
154.0,12.0,48,4
170.0,14.0,48,4
222.0,16.0,48,4
261.0,18.0,48,4
303.0,20.0,48,4
322.0,21.0,48,4
40.0,0.0,49,4
53.0,2.0,49,4
64.0,4.0,49,4
85.0,6.0,49,4
108.0,8.0,49,4
128.0,10.0,49,4
152.0,12.0,49,4
166.0,14.0,49,4
184.0,16.0,49,4
203.0,18.0,49,4
233.0,20.0,49,4
237.0,21.0,49,4
41.0,0.0,50,4
54.0,2.0,50,4
67.0,4.0,50,4
84.0,6.0,50,4
105.0,8.0,50,4
122.0,10.0,50,4
155.0,12.0,50,4
175.0,14.0,50,4
205.0,16.0,50,4
234.0,18.0,50,4
264.0,20.0,50,4
264.0,21.0,50,4
